FIPS,City,Year,Population,Primary Point
1952995,Modale,July 01 2019,264,POINT (-96.0120201 41.6181928)
1974775,St. Marys,July 01 2002,131,POINT (-91.4457379 42.0529659)
1981840,Walford,July 01 2015,1456,POINT (-91.8305169 41.8796623)
1931575,Goodell,July 01 1996,186,POINT (-93.614062 42.9237297)
1967575,Riverton,July 01 2013,287,POINT (-95.5686127 40.6868183)
1902485,Arcadia,July 01 2008,432,POINT (-95.0431916 42.0861975)
1981615,Wahpeton,July 01 1991,485,POINT (-95.1744377 43.3741639)
1928515,Fort Dodge,July 01 2005,25211,POINT (-94.175105 42.5097987)
1953310,Monona,July 01 1997,1561,POINT (-91.3912037 43.0512734)
1909955,Callender,April 01 2010,376,POINT (-94.2955132 42.3616112)
1975180,Steamboat Rock,July 01 2013,309,POINT (-93.0665057 42.4081346)
1979905,Urbana,July 01 2006,1369,POINT (-91.887274 42.2284093)
1964560,Prescott,July 01 2014,251,POINT (-94.6129796 41.0238035)
1914160,Clemons,July 01 2019,141,POINT (-93.158508 42.1138981)
1967125,Rinard,July 01 2007,62,POINT (-94.4849296 42.3396126)
1982335,Washington,July 01 2015,7342,POINT (-91.6928008 41.2982237)
1943680,Laurel,July 01 2015,239,POINT (-92.922164 41.884062)
1958530,Ocheyedan,July 01 1993,522,POINT (-95.5365264 43.4181152)
1903655,Audubon,July 01 2008,2149,POINT (-94.9285729 41.7183297)
1924825,Elkport,July 01 2004,106,POINT (-91.2749402 42.7415739)
1941790,Knierim,July 01 2012,59,POINT (-94.4559372 42.4561397)
1963975,Pocahontas,July 01 2018,1656,POINT (-94.6661298 42.7371357)
1984835,Westwood,July 01 2005,124,POINT (-91.6266238 40.9647732)
1948180,Macksburg,July 01 1991,110,POINT (-94.1850673 41.2146954)
1964875,Promise City,April 01 2010,111,POINT (-93.1497895 40.7473394)
1942285,Lacona,July 01 2018,352,POINT (-93.3849697 41.1899087)
1956325,New London,July 01 1992,2021,POINT (-91.4011156 40.9231717)
1908650,Bronson,July 01 1996,223,POINT (-96.2113577 42.4090069)
1952590,Minden,July 01 1991,534,POINT (-95.5411773 41.4683761)
1904555,Barnes City,July 01 2019,169,POINT (-92.4696188 41.5070595)
1973425,Sioux Rapids,July 01 2004,689,POINT (-95.1487935 42.891608)
1933150,Griswold,July 01 2014,983,POINT (-95.1392779 41.2342966)
1956595,New Virginia,July 01 2008,486,POINT (-93.7310405 41.1816162)
1958710,Okoboji,July 01 1999,916,POINT (-95.1392893 43.3912199)
1938460,Ionia,July 01 2002,272,POINT (-92.4584186 43.0360537)
1949755,Marshalltown,April 01 2010,27552,POINT (-92.9066945 42.0341021)
1979815,University Park,July 01 1999,587,POINT (-92.6149705 41.2855651)
1917490,Cromwell,July 01 1995,120,POINT (-94.4617367 41.0403126)
1970410,Sanborn,July 01 1993,1358,POINT (-95.655256 43.1813704)
1908200,Brayton,April 01 2010,128,POINT (-94.9303482 41.5448041)
1952095,Milford,July 01 1993,2225,POINT (-95.1286238 43.338269)
1950430,Maurice,July 01 2018,273,POINT (-96.1827384 42.9660542)
1943725,Laurens,July 01 2016,1160,POINT (-94.8482953 42.8477467)
1936885,Holy Cross,July 01 2019,368,POINT (-90.996183 42.6010877)
1929280,Fruitland,July 01 2004,857,POINT (-91.1287744 41.347424)
1962625,Peterson,July 01 2003,360,POINT (-95.3430601 42.9176513)
1914970,Coin,July 01 2017,177,POINT (-95.2348731 40.6560633)
1926400,Fairfax,July 01 1995,873,POINT (-91.7758659 41.9227519)
1902755,Arion,July 01 1999,148,POINT (-95.4623218 41.9481606)
1982020,Wall Lake,July 01 1998,831,POINT (-95.0927786 42.267186)
1965280,Quimby,July 01 2009,323,POINT (-95.6439386 42.629181)
1902530,Archer,July 01 2015,126,POINT (-95.7440995 43.1151043)
1914025,Clear Lake,July 01 2004,7926,POINT (-93.3739922 43.1346536)
1963075,Pisgah,July 01 1995,267,POINT (-95.9263861 41.8304354)
1971040,Scarville,July 01 2003,92,POINT (-93.6165718 43.4709669)
1965910,Readlyn,April 01 2010,808,POINT (-92.225022 42.7037692)
1948900,Manly,April 01 2000,1342,POINT (-93.2009752 43.2880706)
1954435,Mount Auburn,July 01 2005,165,POINT (-92.094317 42.2574343)
1973650,Smithland,July 01 1997,301,POINT (-95.9311714 42.2289603)
1968565,Rome,July 01 2017,116,POINT (-91.6818867 40.9821661)
1924375,Elberon,July 01 2002,244,POINT (-92.3161149 42.0054947)
1969015,Rowan,July 01 2004,208,POINT (-93.5504173 42.7391166)
1921360,Dickens,July 01 2016,176,POINT (-95.0223206 43.1339372)
1942015,Knoxville,July 01 1994,8482,POINT (-93.1023566 41.3188166)
1942960,Lamoni,July 01 2004,2435,POINT (-93.934323 40.6204912)
1921180,De Witt,July 01 2018,5182,POINT (-90.5438894 41.8224214)
1914430,Clinton,July 01 2019,25093,POINT (-90.2407895 41.8434359)
1933465,Guttenberg,July 01 1992,2260,POINT (-91.1059046 42.7887133)
1957135,North Buena Vista,July 01 2015,120,POINT (-90.9585058 42.677621)
1979770,University Heights,July 01 2011,1051,POINT (-91.5588548 41.6550607)
1963975,Pocahontas,July 01 1995,2088,POINT (-94.6661298 42.7371357)
1940890,Keomah Village,July 01 2014,96,POINT (-92.5367656 41.2885469)
1958710,Okoboji,July 01 2001,852,POINT (-95.1392893 43.3912199)
1911080,Carroll,July 01 2015,9962,POINT (-94.8646894 42.0697353)
1982380,Washta,July 01 2002,268,POINT (-95.7201752 42.5756045)
1912720,Chariton,April 01 2010,4321,POINT (-93.3094486 41.0175751)
1918345,Dana,July 01 1997,71,POINT (-94.238368 42.1070968)
1975405,Stockport,July 01 1995,267,POINT (-91.8333604 40.8572858)
1907480,Boone,July 01 2005,12684,POINT (-93.8773237 42.0530404)
1962760,Pierson,July 01 2019,354,POINT (-95.8652766 42.5428025)
1983595,West Branch,April 01 2010,2322,POINT (-91.3406612 41.6627654)
1985710,Willey,July 01 1991,78,POINT (-94.8223651 41.9787458)
1967125,Rinard,July 01 2015,51,POINT (-94.4849296 42.3396126)
1912855,Charlotte,July 01 2012,387,POINT (-90.4682057 41.9621301)
1929055,Fredonia,July 01 2015,239,POINT (-91.3393851 41.284514)
1987240,Wyoming,July 01 1996,667,POINT (-91.0051028 42.0597168)
1904195,Badger,July 01 1991,599,POINT (-94.1445463 42.6141459)
1945390,Linden,July 01 2008,267,POINT (-94.2699847 41.6427085)
1934590,Harpers Ferry,July 01 2005,316,POINT (-91.1520093 43.2009123)
1948500,Maharishi Vedic City,July 01 2013,1302,POINT (-92.0138829 41.0543302)
1934455,Hardy,July 01 2004,92,POINT (-94.0511447 42.8101495)
1942015,Knoxville,July 01 2008,7294,POINT (-93.1023566 41.3188166)
1986970,Woodward,July 01 2013,1514,POINT (-93.9208014 41.8522961)
1947010,Low Moor,July 01 2012,267,POINT (-90.3542133 41.8023436)
1912225,Center Junction,July 01 1995,165,
1934410,Harcourt,April 01 2010,303,POINT (-94.1745288 42.2605617)
1901180,Alleman,July 01 1996,403,POINT (-93.6094604 41.8158459)
1970230,Salem,July 01 2015,386,POINT (-91.6206406 40.8519773)
1985215,Whiting,July 01 1993,715,POINT (-96.1507766 42.1271884)
1923250,Eagle Grove,July 01 2018,3426,POINT (-93.9026088 42.6667195)
1973425,Sioux Rapids,July 01 1999,722,POINT (-95.1487935 42.891608)
1913485,Clare,July 01 2008,172,POINT (-94.3446885 42.587455)
1952905,Mitchell,July 01 2002,152,POINT (-92.8708732 43.320421)
1940845,Keokuk,July 01 2005,10616,POINT (-91.403029 40.4095595)
1919495,Deep River,July 01 1993,338,POINT (-92.3732274 41.5811789)
1923340,Earlham,July 01 2012,1428,POINT (-94.1222513 41.4944824)
1973650,Smithland,July 01 2019,227,POINT (-95.9311714 42.2289603)
1968475,Roland,July 01 2004,1325,POINT (-93.5028373 42.1660381)
1911035,Carpenter,July 01 2002,130,POINT (-93.0172679 43.414988)
1918435,Danville,April 01 2000,914,POINT (-91.3145579 40.8600374)
1934455,Hardy,July 01 2002,55,POINT (-94.0511447 42.8101495)
1921000,Des Moines,July 01 2003,197106,POINT (-93.6104316 41.5725032)
1986700,Woden,July 01 2018,208,POINT (-93.9114238 43.2307878)
1946515,Lorimor,July 01 1999,399,POINT (-94.0570493 41.1266756)
1973605,Sloan,July 01 2009,1023,POINT (-96.2257127 42.2324178)
1986385,Winfield,July 01 2009,1059,POINT (-91.4380958 41.125855)
1963840,Plover,July 01 1992,100,POINT (-94.6222266 42.876712)
1948450,Madrid,July 01 2008,2375,POINT (-93.820109 41.8756295)
1971085,Schaller,July 01 1991,765,POINT (-95.2962713 42.4965314)
1902350,Anthon,July 01 2011,572,POINT (-95.8656328 42.3881341)
1937470,Hudson,July 01 2014,2360,POINT (-92.4519085 42.4320012)
1913395,Cincinnati,July 01 1992,364,POINT (-92.9222293 40.6309489)
1921360,Dickens,July 01 2003,194,POINT (-95.0223206 43.1339372)
1910450,Cantril,July 01 1997,282,POINT (-92.0684662 40.6428412)
1907480,Boone,July 01 1999,12857,POINT (-93.8773237 42.0530404)
1921675,Dolliver,April 01 2010,66,POINT (-94.6143179 43.4638362)
1986835,Woodbine,July 01 2017,1409,POINT (-95.7067259 41.7346202)
1972525,Shenandoah,July 01 2004,5155,POINT (-95.3720582 40.7583016)
1921675,Dolliver,July 01 2003,74,POINT (-94.6143179 43.4638362)
1936705,Holland,July 01 1994,216,POINT (-92.7988148 42.3999555)
1906175,Bertram,July 01 2018,293,POINT (-91.5376397 41.9511334)
1969330,Ruthven,July 01 2008,686,POINT (-94.8984503 43.1300915)
1934680,Hartford,July 01 1992,774,POINT (-93.4052141 41.4577051)
1933465,Guttenberg,July 01 2003,1915,POINT (-91.1059046 42.7887133)
1985260,Whittemore,July 01 2019,476,POINT (-94.4250537 43.0633908)
1975810,Stratford,July 01 2011,738,POINT (-93.9272412 42.2691235)
1948495,Magnolia,July 01 1997,223,POINT (-95.8741284 41.6921843)
1972390,Sheldon,July 01 2001,4986,POINT (-95.8440092 43.1796213)
1921900,Doon,July 01 1999,660,POINT (-96.2317488 43.2787854)
1953490,Montezuma,July 01 2013,1424,POINT (-92.5273821 41.5833762)
1919810,Delphos,April 01 2010,25,POINT (-94.3402745 40.663174)
1961275,Panama,July 01 1999,207,POINT (-95.4754762 41.7263507)
1950655,Maysville,July 01 2002,162,POINT (-90.718486 41.6495455)
1903340,Aspinwall,July 01 2015,40,POINT (-95.1349612 41.9105489)
1987015,Woolstock,July 01 2012,166,POINT (-93.8432601 42.5647758)
1944670,Lester,July 01 1997,248,POINT (-96.3314371 43.4402995)
1912990,Chelsea,July 01 1991,353,POINT (-92.3945142 41.9204989)
1918255,Dallas Center,July 01 2016,1717,POINT (-93.9816407 41.6854114)
1975450,Stockton,July 01 2014,194,POINT (-90.8564268 41.5908278)
1955695,Nevada,July 01 2005,6528,POINT (-93.463738 42.0185408)
1906940,Blencoe,July 01 2008,200,POINT (-96.0821104 41.9303416)
1983145,Webster City,April 01 2000,8176,POINT (-93.8166983 42.4623327)
1946290,Lone Rock,July 01 2015,142,POINT (-94.3254999 43.2208068)
1917940,Cushing,July 01 2018,216,POINT (-95.675703 42.464969)
1945795,Little Rock,July 01 2005,470,POINT (-95.880437 43.4454349)
1958395,Oakville,July 01 2008,410,POINT (-91.0436173 41.0981152)
1980580,Ventura,July 01 1997,632,POINT (-93.4621042 43.1283345)
1931710,Gowrie,July 01 2003,1063,POINT (-94.2897172 42.2778361)
1903115,Arthur,July 01 2012,203,POINT (-95.3469405 42.3353614)
1900640,Agency,July 01 2009,629,POINT (-92.3072288 40.997475)
1965505,Ralston,July 01 2004,82,POINT (-94.6293007 42.0417738)
1937605,Humeston,July 01 2001,540,POINT (-93.4972195 40.8609187)
1901180,Alleman,July 01 2017,456,POINT (-93.6094604 41.8158459)
1945255,Lincoln,July 01 2014,154,POINT (-92.6913872 42.2634642)
1916050,Coon Rapids,July 01 2018,1237,POINT (-94.6784541 41.8747687)
1966135,Red Oak,July 01 2009,5626,POINT (-95.2248247 41.0141481)
1961815,Paton,July 01 2005,255,POINT (-94.2550567 42.1642219)
1978285,Tipton,July 01 2003,3108,POINT (-91.1283723 41.7697904)
1964290,Postville,July 01 2012,2171,POINT (-91.5682128 43.0839487)
1983910,West Des Moines,July 01 2004,51942,POINT (-93.7802969 41.5527354)
1966450,Renwick,July 01 1999,258,POINT (-93.9813336 42.8269157)
1909145,Buck Grove,July 01 2011,43,POINT (-95.3951051 41.9178251)
1987690,Zwingle,July 01 1998,89,POINT (-90.6874539 42.2971718)
1948045,McIntire,July 01 2017,124,POINT (-92.5936847 43.4359606)
1949935,Martinsburg,July 01 1997,143,POINT (-92.2519181 41.1786664)
1906040,Berkley,July 01 2018,34,POINT (-94.113648 41.9464164)
1947595,Lynnville,July 01 2013,382,POINT (-92.7868908 41.5728356)
1966540,Rhodes,July 01 2019,297,POINT (-93.1836907 41.9278263)
1902305,Ankeny,July 01 2005,36039,POINT (-93.603264 41.727907)
1905095,Beaconsfield,July 01 1999,29,POINT (-94.0506804 40.8075746)
1955695,Nevada,July 01 1993,6063,POINT (-93.463738 42.0185408)
1933240,Gruver,April 01 2000,106,POINT (-94.703558 43.3931285)
1957630,Northwood,July 01 2004,2008,POINT (-93.2166459 43.444054)
1946605,Lost Nation,April 01 2010,446,POINT (-90.8167168 41.9665989)
1931035,Gladbrook,July 01 1993,866,POINT (-92.7150959 42.1860667)
1901495,Alta,July 01 2007,1827,POINT (-95.3045104 42.6716795)
1923970,Eddyville,July 01 1994,1099,POINT (-92.6297911 41.1592059)
1912405,Centerville,April 01 2000,5924,
1976260,Sumner,July 01 1996,2079,POINT (-92.0974233 42.8494642)
1976485,Sutherland,July 01 2016,611,POINT (-95.4950352 42.9728304)
1965010,Protivin,July 01 2001,316,POINT (-92.0891446 43.2164283)
1929595,Galva,July 01 2018,419,POINT (-95.4177423 42.5059144)
1959250,Onslow,July 01 2012,194,POINT (-91.0152515 42.1073153)
1905680,Belmond,July 01 2011,2348,POINT (-93.6084501 42.8465738)
1929775,Garden Grove,July 01 2013,198,POINT (-93.6071931 40.8265786)
1968250,Rockwell,July 01 1999,776,POINT (-93.1871266 42.979966)
1946245,Lohrville,July 01 1998,472,POINT (-94.5515983 42.2671725)
1906760,Blairsburg,April 01 1990,269,POINT (-93.6428357 42.47838)
1929685,Garber,July 01 2002,96,POINT (-91.2618173 42.744429)
1967215,Rippey,April 01 2010,292,POINT (-94.2007998 41.9342117)
1969690,Sageville,July 01 1994,210,POINT (-90.7061464 42.5489155)
1947865,McClelland,July 01 2005,125,POINT (-95.68343 41.3284733)
1906985,Blockton,July 01 2008,170,POINT (-94.4779281 40.6168175)
1979095,Truesdale,July 01 2018,78,POINT (-95.1834071 42.7292568)
1931980,Grand Junction,July 01 1999,801,POINT (-94.2370224 42.032965)
1901090,Alexander,July 01 2004,161,POINT (-93.4786472 42.8044201)
1965550,Randalia,July 01 2019,56,POINT (-91.8864465 42.8635957)
1945255,Lincoln,July 01 2007,154,POINT (-92.6913872 42.2634642)
1977835,Thornburg,July 01 2005,67,POINT (-92.3327614 41.4553947)
1984630,Westside,July 01 2005,325,POINT (-95.1013476 42.075749)
1935445,Hayesville,July 01 2012,50,POINT (-92.2476997 41.2647098)
1919720,Delmar,July 01 2005,498,POINT (-90.6079678 41.9988013)
1960645,Oxford,July 01 2018,803,POINT (-91.7912597 41.7226966)
1931035,Gladbrook,July 01 2019,858,POINT (-92.7150959 42.1860667)
1986385,Winfield,July 01 2017,1106,POINT (-91.4380958 41.125855)
1911305,Cascade,July 01 2011,2202,POINT (-91.0045814 42.3019211)
1914655,Clutier,April 01 2010,213,POINT (-92.4036082 42.0793295)
1972345,Sheldahl,July 01 1991,314,POINT (-93.6967164 41.8642901)
1905590,Belle Plaine,April 01 2010,2534,POINT (-92.2753004 41.8952524)
1944805,Lewis,July 01 2018,404,POINT (-95.0842834 41.3064931)
1987285,Yale,July 01 1996,224,POINT (-94.3572116 41.7753718)
1923430,Earlville,July 01 2003,865,POINT (-91.2701068 42.4827545)
1921180,De Witt,July 01 2014,5231,POINT (-90.5438894 41.8224214)
1901315,Allison,July 01 1995,938,POINT (-92.7957606 42.7517481)
1909100,Buckeye,July 01 1994,102,POINT (-93.3758285 42.419473)
1903160,Asbury,July 01 1995,2220,POINT (-90.7797272 42.5118375)
1976035,Sully,July 01 2003,892,POINT (-92.8468343 41.5780013)
1915375,Columbus City,July 01 2001,377,POINT (-91.3746897 41.2592765)
1986610,Wiota,July 01 2019,107,POINT (-94.8874747 41.4010236)
1973110,Sigourney,July 01 2009,2062,POINT (-92.2045421 41.3340975)
1965010,Protivin,July 01 1991,313,POINT (-92.0891446 43.2164283)
1939405,Janesville,July 01 2014,962,POINT (-92.4629269 42.6458874)
1931710,Gowrie,July 01 1994,1000,POINT (-94.2897172 42.2778361)
1957135,North Buena Vista,July 01 2006,96,POINT (-90.9585058 42.677621)
1972345,Sheldahl,July 01 2006,313,POINT (-93.6967164 41.8642901)
1967035,Ridgeway,July 01 2007,283,POINT (-91.9926366 43.2988771)
1971310,Scranton,July 01 2001,589,POINT (-94.5490547 42.0190882)
1926355,Fairbank,July 01 2015,1121,POINT (-92.0475697 42.6401042)
1933195,Grundy Center,July 01 2013,2696,POINT (-92.7743996 42.3637582)
1950970,Melrose,July 01 2012,113,POINT (-93.0508038 40.9790245)
1982335,Washington,July 01 1998,7257,POINT (-91.6928008 41.2982237)
1987060,Worthington,July 01 1995,408,POINT (-91.1207613 42.398071)
1910090,Calumet,July 01 1993,157,POINT (-95.5515151 42.9449608)
1915015,Colesburg,July 01 2008,375,POINT (-91.2010037 42.6387958)
1903970,Avoca,July 01 2017,1514,POINT (-95.3373168 41.4828711)
1951420,Meservey,July 01 2007,224,POINT (-93.4733851 42.9156435)
1978060,Tiffin,July 01 2013,2348,POINT (-91.658392 41.7067521)
1972210,Sheffield,April 01 1990,1174,POINT (-93.208697 42.8928802)
1956415,New Providence,July 01 1991,246,POINT (-93.1718387 42.2811866)
1965640,Randolph,July 01 2019,155,POINT (-95.5647251 40.8734345)
1938100,Independence,July 01 1992,5975,POINT (-91.9029773 42.4621659)
1964065,Pomeroy,July 01 2002,673,POINT (-94.6778218 42.5519497)
1935265,Hawarden,July 01 2013,2536,POINT (-96.4831539 43.0018665)
1962760,Pierson,July 01 2012,365,POINT (-95.8652766 42.5428025)
1917670,Crystal Lake,April 01 2000,285,POINT (-93.792707 43.2229779)
1966540,Rhodes,July 01 2012,308,POINT (-93.1836907 41.9278263)
1910045,Calmar,July 01 2007,1023,POINT (-91.8677508 43.1805636)
1982650,Waucoma,July 01 2004,250,POINT (-92.0341066 43.0554679)
1928020,Floyd,July 01 2002,355,POINT (-92.7402544 43.1282005)
1931575,Goodell,July 01 2014,134,POINT (-93.614062 42.9237297)
1966000,Redding,July 01 1991,119,POINT (-94.3862876 40.6068297)
1966315,Reinbeck,July 01 2001,1720,POINT (-92.5942704 42.3225055)
1972435,Shell Rock,July 01 2016,1294,POINT (-92.5818767 42.7122338)
1966810,Rickardsville,July 01 2015,177,POINT (-90.8762169 42.5815445)
1908065,Bradgate,July 01 2014,84,POINT (-94.4196235 42.8028773)
1984540,Westphalia,July 01 2008,142,POINT (-95.3936653 41.7192516)
1915375,Columbus City,July 01 1993,340,POINT (-91.3746897 41.2592765)
1929280,Fruitland,July 01 1996,528,POINT (-91.1287744 41.347424)
1904105,Ayrshire,July 01 2016,137,POINT (-94.8335229 43.0395515)
1946425,Long Grove,July 01 2011,815,POINT (-90.5802816 41.692241)
1940215,Kamrar,July 01 2009,208,POINT (-93.7279798 42.3896833)
1981210,Vinton,July 01 2018,5089,POINT (-92.0260813 42.1638951)
1958530,Ocheyedan,July 01 2019,459,POINT (-95.5365264 43.4181152)
1970590,Sandyville,July 01 2013,51,POINT (-93.3863323 41.3707702)
1901855,Ames,July 01 2014,64773,POINT (-93.627573 42.0261266)
1907075,Blue Grass,July 01 1991,1224,POINT (-90.7648763 41.5095767)
1933150,Griswold,July 01 2017,963,POINT (-95.1392779 41.2342966)
1924465,Eldora,July 01 2018,2629,POINT (-93.1012867 42.3605951)
1911530,Castana,July 01 2011,142,POINT (-95.9103984 42.0730934)
1901495,Alta,July 01 1994,1862,POINT (-95.3045104 42.6716795)
1981840,Walford,July 01 1998,981,POINT (-91.8305169 41.8796623)
1974775,St. Lucas,July 01 2003,171,POINT (-91.4457379 42.0529659)
1900955,Albion,July 01 2014,469,POINT (-92.9887407 42.1125257)
1954840,Mount Vernon,July 01 2013,4531,POINT (-91.4243495 41.9229756)
1957675,Norwalk,July 01 2012,9435,POINT (-93.6922661 41.4914536)
1957225,North English,July 01 1993,978,POINT (-92.0776314 41.5164005)
1903385,Atalissa,July 01 2018,309,POINT (-91.1664541 41.5716874)
1942600,Lake Park,July 01 2004,1005,POINT (-95.325247 43.4477627)
1971310,Scranton,July 01 2018,528,POINT (-94.5490547 42.0190882)
1907030,Bloomfield,July 01 2001,2597,POINT (-92.4173637 40.7487671)
1968565,Rome,July 01 2006,116,POINT (-91.6818867 40.9821661)
1944985,Libertyville,July 01 1997,289,POINT (-92.0501957 40.9582432)
1937515,Hull,April 01 2000,1960,POINT (-96.1336554 43.1894543)
1916500,Corning,July 01 1994,1726,POINT (-94.7395154 40.9929182)
1930225,George,July 01 2014,1072,POINT (-96.0027092 43.341995)
1969195,Rudd,July 01 2005,407,POINT (-92.9045921 43.1275228)
1935715,Henderson,July 01 1993,187,POINT (-95.4309742 41.1399871)
1934995,Hastings,July 01 2001,220,POINT (-95.4948278 41.0250884)
1919855,Delta,July 01 1993,408,POINT (-92.3304211 41.3225876)
1947955,Macedonia,July 01 2018,244,POINT (-95.426772 41.1919281)
1906895,Blanchard,July 01 2003,59,POINT (-95.2214595 40.5807827)
1944355,Leland,July 01 2006,259,POINT (-93.6350977 43.3318155)
1964875,Promise City,July 01 1991,130,POINT (-93.1497895 40.7473394)
1905905,Benton,July 01 2009,35,POINT (-94.3611955 40.704075)
1919495,Deep River,July 01 2004,282,POINT (-92.3732274 41.5811789)
1937470,Hudson,July 01 2007,2150,POINT (-92.4519085 42.4320012)
1907660,Bouton,July 01 2002,140,POINT (-94.0105732 41.8511411)
1942960,Lamoni,July 01 2014,2381,POINT (-93.934323 40.6204912)
1980805,Victor,July 01 2012,880,POINT (-92.2947426 41.7307354)
1965010,Protivin,July 01 2008,302,POINT (-92.0891446 43.2164283)
1925725,Epworth,July 01 2015,1944,POINT (-90.9309156 42.4474634)
1974055,South English,July 01 2003,215,POINT (-92.090512 41.4520828)
1945615,Lisbon,July 01 2006,1971,POINT (-91.3916619 41.9205324)
1960645,Oxford,July 01 1999,646,POINT (-91.7912597 41.7226966)
1919585,Defiance,July 01 2014,276,POINT (-95.3403538 41.8254177)
1941115,Keystone,July 01 1996,604,POINT (-92.198287 41.9997178)
1947280,Luther,July 01 2008,145,POINT (-93.8200542 41.9669307)
1930675,Gilbertville,July 01 1993,762,POINT (-92.2141932 42.4189896)
1917490,Cromwell,July 01 2014,107,POINT (-94.4617367 41.0403126)
1987555,Zearing,July 01 1993,599,POINT (-93.2971817 42.1589254)
1902485,Arcadia,July 01 2019,520,POINT (-95.0431916 42.0861975)
1983370,Welton,July 01 2008,158,POINT (-90.5960951 41.9076799)
1954030,Morley,July 01 2015,114,POINT (-91.245872 42.006028)
1934005,Hancock,April 01 1990,201,POINT (-95.3636607 41.3921947)
1941475,Kinross,July 01 2013,72,POINT (-91.9873035 41.4588773)
1981885,Walker,July 01 2003,739,POINT (-91.7808739 42.2873128)
1982965,Wayland,July 01 2018,948,POINT (-91.659088 41.148462)
1921720,Donahue,July 01 1991,321,POINT (-90.6746301 41.6915346)
1981705,Walcott,July 01 1991,1368,POINT (-90.771914 41.5865454)
1931845,Graf,July 01 1999,86,POINT (-90.8732325 42.4938574)
1943725,Laurens,July 01 2018,1136,POINT (-94.8482953 42.8477467)
1948675,Maloy,July 01 1992,35,POINT (-94.4119202 40.6731797)
1965415,Rake,July 01 2017,215,POINT (-93.9201734 43.4805671)
1943590,Latimer,April 01 2000,535,POINT (-93.3655999 42.762884)
1944580,Le Roy,July 01 2001,13,POINT (-93.5924703 40.8783629)
1935310,Hawkeye,July 01 2011,451,POINT (-91.950354 42.9377417)
1943680,Laurel,July 01 2019,231,POINT (-92.922164 41.884062)
1911170,Carson,July 01 2019,809,POINT (-95.418543 41.2359227)
1959645,Orleans,July 01 1993,566,
1908200,Brayton,July 01 1998,109,POINT (-94.9303482 41.5448041)
1939405,Janesville,July 01 2001,823,POINT (-92.4629269 42.6458874)
1960780,Oyens,July 01 2011,100,POINT (-96.0582383 42.8199469)
1952950,Mitchellville,July 01 1999,2059,POINT (-93.3629093 41.6678771)
1943500,Larrabee,July 01 2013,138,POINT (-95.5447369 42.8615008)
1955335,Nashua,July 01 2007,1518,POINT (-92.5417304 42.950168)
1964065,Pomeroy,July 01 1995,751,POINT (-94.6778218 42.5519497)
1933240,Gruver,July 01 1994,98,POINT (-94.703558 43.3931285)
1917985,Cylinder,July 01 2011,87,POINT (-94.5511492 43.089664)
1925095,Elma,July 01 1996,654,POINT (-92.4393341 43.2458725)
1958620,Oelwein,July 01 2006,6226,POINT (-91.9131952 42.6713674)
1902800,Arispe,July 01 2013,101,POINT (-94.2191509 40.9480308)
1983910,West Des Moines,July 01 2015,63489,POINT (-93.7802969 41.5527354)
1939405,Janesville,July 01 2003,817,POINT (-92.4629269 42.6458874)
1973110,Sigourney,July 01 1995,2056,POINT (-92.2045421 41.3340975)
1966045,Redfield,July 01 2008,1003,POINT (-94.1961117 41.5906044)
1916590,Corwith,July 01 2004,329,POINT (-93.9580791 42.9890004)
1968070,Rockford,July 01 2001,891,POINT (-92.9477776 43.0524158)
1921270,Diagonal,July 01 2018,320,POINT (-94.3421119 40.8104671)
1971940,Shannon City,July 01 2015,70,POINT (-94.2638596 40.8992002)
1968565,Rome,July 01 2018,115,POINT (-91.6818867 40.9821661)
1917490,Cromwell,July 01 2003,116,POINT (-94.4617367 41.0403126)
1972660,Sherrill,July 01 2009,176,POINT (-90.7841885 42.6043231)
1904195,Badger,July 01 2011,559,POINT (-94.1445463 42.6141459)
1905185,Beaver,July 01 2016,49,POINT (-94.139911 42.0382078)
1928245,Fonda,July 01 1997,684,POINT (-94.8459417 42.581696)
1934185,Hanlontown,July 01 1995,186,POINT (-93.3788839 43.2809013)
1943680,Laurel,April 01 2000,266,POINT (-92.922164 41.884062)
1979185,Turin,July 01 2007,68,POINT (-95.9660243 42.020857)
1974685,Spring Hill,July 01 2007,91,POINT (-93.6498879 41.4121875)
1983370,Welton,July 01 1995,183,POINT (-90.5960951 41.9076799)
1939405,Janesville,July 01 1997,923,POINT (-92.4629269 42.6458874)
1932520,Gravity,April 01 2000,218,POINT (-94.7435014 40.7601646)
1918345,Dana,July 01 1993,72,POINT (-94.238368 42.1070968)
1948855,Manilla,July 01 1997,825,POINT (-95.2345611 41.8923087)
1966810,Rickardsville,July 01 2006,178,POINT (-90.8762169 42.5815445)
1974775,St. Charles,April 01 2000,619,POINT (-91.4457379 42.0529659)
1954930,Moville,July 01 1992,1327,POINT (-96.0679063 42.4894254)
1929055,Fredonia,July 01 2019,235,POINT (-91.3393851 41.284514)
1926760,Farley,July 01 2016,1674,POINT (-91.0091147 42.4437548)
1915195,Collins,July 01 2018,470,POINT (-93.3082881 41.9019614)
1900775,Akron,July 01 2015,1483,POINT (-96.5570105 42.8266985)
1957495,North Washington,July 01 1998,95,POINT (-92.4153905 43.117289)
1945615,Lisbon,July 01 2011,2151,POINT (-91.3916619 41.9205324)
1965370,Radcliffe,July 01 1995,565,POINT (-93.4343108 42.3177101)
